hotel_id,name,location,latitude,longitude,price_range_min,price_range_max,rating,amenities,room_types,verified,contact
1,Hotel Budget 1,Nuwara Eliya,6.75786,80.292396,5903.9,6963.03,3.4,"[""restaurant"", ""bar"", ""parking"", ""gym""]","[""single"", ""double""]",True,+94 89 2861900
2,Hotel Mid 2,Arugam Bay,7.680684,81.508062,14193.58,17270.65,3.7,"[""parking"", ""airport_shuttle"", ""gym"", ""pool"", ""bar"", ""restaurant"", ""wifi""]","[""single"", ""double"", ""suite""]",True,+94 73 8439987
3,Hotel Luxury 3,Kandy,6.862847,80.814598,27062.28,69225.12,4.5,"[""room_service"", ""pool"", ""restaurant"", ""spa"", ""airport_shuttle"", ""parking""]","[""single"", ""double""]",True,+94 39 8675444
4,Hotel Mid 4,Mirissa,8.819255,80.569047,9942.68,18257.02,4.1,"[""gym"", ""bar"", ""wifi"", ""pool""]","[""single"", ""double""]",True,+94 61 5128525
5,Hotel Budget 5,Galle,7.722985,80.435248,4681.45,9800.74,3.7,"[""spa"", ""gym"", ""room_service""]","[""single""]",True,+94 69 3163354
6,Hotel Mid 6,Bentota,7.297448,79.668774,11324.2,22104.26,3.9,"[""room_service"", ""pool"", ""airport_shuttle"", ""spa"", ""restaurant"", ""parking"", ""beach_access""]","[""single"", ""double""]",True,+94 58 5187244
7,Hotel Luxury 7,Ella,8.865485,79.865425,46694.89,134170.59,4.9,"[""spa"", ""parking"", ""bar"", ""wifi"", ""gym"", ""airport_shuttle"", ""beach_access"", ""pool"", ""room_service""]","[""single""]",False,+94 16 4851315
8,Hotel Luxury 8,Kandy,9.209257,81.801215,46987.21,88538.82,4.8,"[""room_service"", ""wifi"", ""gym"", ""restaurant"", ""spa"", ""pool"", ""bar"", ""beach_access""]","[""single"", ""double"", ""suite""]",True,+94 88 7355586
9,Hotel Mid 9,Colombo,7.779924,80.590546,10284.29,16470.17,4.4,"[""parking"", ""beach_access"", ""bar"", ""pool"", ""restaurant"", ""spa""]","[""single"", ""double""]",True,+94 76 5625097
10,Hotel Budget 10,Nuwara Eliya,9.642656,81.528014,2172.72,10793.76,3.0,"[""pool"", ""bar""]","[""single""]",True,+94 79 2806706
11,Hotel Mid 11,Mirissa,7.677276,81.554257,13298.93,19384.11,3.5,"[""spa"", ""bar"", ""room_service"", ""beach_access""]","[""single"", ""double"", ""suite""]",True,+94 23 7592234
12,Hotel Mid 12,Colombo,7.50767,81.306457,8115.69,25550.21,3.5,"[""spa"", ""pool"", ""restaurant"", ""wifi"", ""bar"", ""airport_shuttle"", ""beach_access""]","[""single""]",True,+94 57 7924206
13,Hotel Mid 13,Nuwara Eliya,7.54095,81.059781,14935.41,16949.19,4.2,"[""gym"", ""parking"", ""room_service"", ""spa"", ""wifi"", ""bar""]","[""single""]",True,+94 38 4688912
14,Hotel Budget 14,Mirissa,8.734502,80.497104,5409.66,10080.94,3.0,"[""gym"", ""wifi"", ""room_service""]","[""single"", ""double""]",True,+94 72 9014336
15,Hotel Mid 15,Kandy,9.171547,81.384897,11583.3,16462.78,4.0,"[""bar"", ""beach_access"", ""restaurant"", ""wifi"", ""gym"", ""pool""]","[""single"", ""double""]",True,+94 60 3592413
16,Hotel Mid 16,Mirissa,6.938178,80.687339,10755.29,20880.47,3.9,"[""room_service"", ""wifi"", ""pool"", ""airport_shuttle"", ""bar""]","[""single""]",True,+94 94 8731883
17,Hotel Budget 17,Ella,8.81049,80.997285,4716.96,8294.42,3.3,"[""airport_shuttle"", ""bar"", ""spa"", ""wifi""]","[""single""]",True,+94 54 1291763
18,Hotel Mid 18,Colombo,9.415487,81.089841,9040.79,28800.79,3.6,"[""restaurant"", ""gym"", ""airport_shuttle"", ""room_service"", ""spa"", ""beach_access"", ""bar""]","[""single"", ""double""]",True,+94 75 2470702
19,Hotel Budget 19,Galle,8.852566,79.983228,2690.29,11282.87,3.7,"[""beach_access"", ""pool"", ""spa""]","[""single""]",True,+94 67 5449328
20,Hotel Luxury 20,Kandy,9.447492,81.052846,47459.07,139731.61,4.4,"[""wifi"", ""room_service"", ""airport_shuttle"", ""pool"", ""beach_access"", ""spa"", ""restaurant"", ""bar"", ""gym""]","[""single"", ""double""]",False,+94 62 6072868
21,Hotel Budget 21,Colombo,6.197653,81.770814,5008.78,6370.39,3.6,"[""restaurant"", ""wifi""]","[""single""]",True,+94 80 4910432
