location_id,latitude,longitude,timestamp,temperature,rainfall_mm,wind_speed,humidity,visibility_km,traffic_congestion_level,average_speed,traffic_volume,num_recent_accidents,num_recent_incidents,risk_score,risk_category,severity_level
1,8.919657,81.75653,2025-11-10 15:29:59,30.51,0.0,6.59,77.27,10.0,5,45,188,1,2,0.15,safe,1.5
2,7.705416,79.89918,2025-11-14 16:29:59,30.57,0.0,11.66,85.93,10.0,0,80,128,0,0,0.1055,safe,1.06
3,6.55695,81.33219,2025-11-12 00:29:59,26.13,0.0,0.95,73.94,10.0,2,66,667,0,1,0.0044,safe,0.04
4,9.28875,80.681279,2025-11-14 12:29:59,23.82,0.0,0.12,79.78,10.0,2,66,1527,0,0,0.0858,safe,0.86
5,6.790467,81.411335,2025-11-10 20:29:59,37.14,0.0,19.78,83.84,10.0,1,73,2082,1,1,0.15,safe,1.5
6,6.799779,80.218971,2025-11-13 05:29:59,31.5,0.0,0.59,75.49,10.0,0,80,1705,2,2,0.3,low,3.0
7,7.098671,81.639299,2025-11-09 15:29:59,28.59,0.0,0.49,83.93,10.0,1,73,972,0,1,0.221,safe,2.21
8,7.70557,81.25176,2025-11-13 13:29:59,28.38,0.0,3.65,69.47,10.0,3,59,144,1,2,0.15,safe,1.5
9,7.722364,80.095316,2025-11-09 05:29:59,31.23,7.24,4.93,66.9,10.0,0,80,193,2,1,0.3,low,3.0
10,7.284939,80.480042,2025-11-08 01:29:59,34.43,0.0,7.52,62.27,10.0,7,31,369,0,2,0.0244,safe,0.24
11,6.847471,80.085291,2025-11-14 18:29:59,24.69,14.3,1.87,87.63,7.99,0,80,135,1,1,0.15,safe,1.5
12,9.212422,81.761471,2025-11-11 09:29:59,22.5,0.0,0.16,66.68,10.0,0,80,581,0,0,0.1242,safe,1.24
13,9.068063,80.669322,2025-11-08 05:29:59,26.65,0.0,1.23,69.31,10.0,3,59,684,1,4,0.15,safe,1.5
14,8.406488,81.150174,2025-11-08 17:29:59,26.12,0.0,12.61,76.51,10.0,5,45,1276,1,1,0.15,safe,1.5
15,8.223253,80.193721,2025-11-09 11:29:59,27.36,0.0,10.08,92.74,10.0,2,66,847,3,0,0.45,low,4.5
16,7.781922,81.261072,2025-11-11 19:29:59,23.87,0.0,0.41,69.21,10.0,4,52,1237,1,1,0.15,safe,1.5
17,9.741739,81.263948,2025-11-08 17:29:59,25.72,0.88,10.44,52.66,10.0,5,45,297,1,0,0.15,safe,1.5
18,8.366867,80.095738,2025-11-09 14:29:59,30.44,0.0,7.79,68.49,10.0,6,38,116,1,1,0.15,safe,1.5
19,8.449135,81.651708,2025-11-10 21:29:59,29.77,5.17,9.15,80.79,10.0,0,80,373,1,1,0.15,safe,1.5
20,6.624272,80.0605,2025-11-08 11:29:59,25.53,0.0,11.92,78.78,10.0,5,45,578,1,4,0.15,safe,1.5
21,8.469413,79.955864,2025-11-09 22:29:59,26.79,0.0,4.51,84.17,10.0,2,66,975,0,0,0.0095,safe,0.1
22,7.20794,80.210345,2025-11-08 04:29:59,23.99,0.0,3.1,84.72,10.0,1,73,309,2,0,0.3,low,3.0
23,6.626257,81.690875,2025-11-10 23:29:59,26.05,4.5,1.86,86.97,10.0,7,31,725,0,2,0.1621,safe,1.62
24,7.251009,80.507565,2025-11-12 13:29:59,25.39,0.0,2.62,73.9,10.0,2,66,344,1,2,0.15,safe,1.5
25,7.167123,80.480162,2025-11-13 11:29:59,28.13,0.0,6.42,73.93,10.0,3,59,391,1,1,0.15,safe,1.5
26,9.092928,80.695501,2025-11-13 14:29:59,26.06,0.0,2.19,75.34,10.0,6,38,1027,0,1,0.0112,safe,0.11
27,7.050454,80.446329,2025-11-13 23:29:59,25.05,13.36,4.73,73.53,4.62,3,59,201,2,0,0.3,low,3.0
28,9.155636,81.427055,2025-11-11 03:29:59,17.94,0.0,1.36,70.06,10.0,0,80,474,0,0,0.0846,safe,0.85
29,6.256471,80.630256,2025-11-10 23:29:59,21.84,0.0,0.67,73.45,10.0,2,66,920,1,2,0.15,safe,1.5
30,8.406225,79.999897,2025-11-10 02:29:59,23.1,5.91,12.27,81.32,10.0,1,73,152,1,1,0.15,safe,1.5
31,6.46459,81.067847,2025-11-14 12:29:59,22.21,0.0,4.67,94.86,10.0,2,66,340,0,1,0.0622,safe,0.62
32,5.906977,80.610268,2025-11-12 10:29:59,31.83,0.0,0.75,80.1,10.0,3,59,525,1,2,0.15,safe,1.5
33,6.707324,81.492839,2025-11-13 07:29:59,25.92,0.0,9.88,72.06,10.0,1,73,885,0,0,0.059,safe,0.59
34,8.393811,81.392996,2025-11-09 05:29:59,24.19,0.0,7.62,68.99,10.0,4,52,20,1,2,0.15,safe,1.5
35,7.198327,79.849927,2025-11-11 16:29:59,30.39,0.0,1.96,75.92,10.0,4,52,258,0,1,0.2945,safe,2.94
36,7.704207,80.06945,2025-11-08 03:29:59,24.32,4.93,5.97,73.33,10.0,8,24,541,0,1,0.25,safe,2.5
37,8.44762,81.365395,2025-11-13 21:29:59,31.01,0.0,1.47,74.17,10.0,2,66,468,0,2,0.0219,safe,0.22
38,8.552762,80.927248,2025-11-11 03:29:59,28.27,0.0,1.05,67.45,10.0,0,80,184,1,3,0.15,safe,1.5
39,8.616853,81.830189,2025-11-08 01:29:59,30.65,0.0,2.74,72.44,10.0,0,80,1527,1,1,0.15,safe,1.5
40,8.958326,81.420819,2025-11-13 01:29:59,23.11,0.0,11.51,75.61,10.0,0,80,910,1,0,0.15,safe,1.5
41,8.164185,81.614936,2025-11-08 10:29:59,27.54,0.0,1.42,89.54,10.0,3,59,39,0,0,0.06,safe,0.6
42,8.055377,80.448978,2025-11-13 20:29:59,31.64,0.0,1.1,77.11,10.0,3,59,332,1,0,0.15,safe,1.5
43,6.896843,79.500011,2025-11-10 14:29:59,27.85,0.0,8.2,56.03,10.0,5,45,534,0,1,0.2342,safe,2.34
44,8.253278,81.436391,2025-11-10 05:29:59,31.89,2.09,4.63,78.25,10.0,4,52,33,0,1,0.1827,safe,1.83
45,6.733404,79.566345,2025-11-14 19:29:59,26.85,0.0,0.73,68.03,10.0,3,59,1056,2,4,0.3,low,3.0
46,8.434597,79.898127,2025-11-13 01:29:59,27.89,1.29,1.02,75.69,10.0,2,66,1493,0,1,0.2259,safe,2.26
47,7.144463,81.186279,2025-11-10 22:29:59,37.94,0.0,2.09,75.63,10.0,2,66,2065,1,0,0.15,safe,1.5
48,9.196612,81.167709,2025-11-08 02:29:59,32.79,0.0,2.66,69.51,10.0,7,31,386,0,1,0.063,safe,0.63
49,6.147964,81.596829,2025-11-08 22:29:59,32.35,1.18,9.7,50.0,10.0,2,66,342,0,1,0.116,safe,1.16
50,8.818264,80.052718,2025-11-11 03:29:59,30.28,0.0,7.58,77.76,10.0,5,45,180,2,1,0.3,low,3.0
51,8.931987,80.332609,2025-11-13 19:29:59,27.8,0.0,0.05,91.59,10.0,1,73,1141,1,1,0.15,safe,1.5
52,6.41604,81.05654,2025-11-13 11:29:59,28.82,0.0,4.69,85.38,10.0,2,66,2061,2,1,0.3,low,3.0
53,7.132014,81.416338,2025-11-09 20:29:59,26.65,8.71,1.69,83.12,10.0,2,66,400,1,1,0.15,safe,1.5
54,6.302715,79.751208,2025-11-12 23:29:59,29.68,0.0,0.57,80.08,10.0,1,73,1418,1,2,0.15,safe,1.5
55,9.022591,81.74915,2025-11-10 09:29:59,31.46,0.0,2.78,82.59,10.0,3,59,1843,1,0,0.15,safe,1.5
56,8.811916,79.728126,2025-11-08 12:29:59,33.75,0.0,4.42,74.59,10.0,3,59,56,1,3,0.15,safe,1.5
57,7.089922,81.631199,2025-11-14 04:29:59,25.64,0.0,0.39,78.74,10.0,6,38,1328,1,0,0.15,safe,1.5
