event_id,latitude,longitude,timestamp,event_type,severity,duration_hours,affected_radius_km,casualties,weather_condition,traffic_level,day_of_week,hour_of_day,resolved
1,7.978035,80.539607,2023-12-17 01:00:00,accident,3,3.47,0.98,0,clear,10,6,1,True
2,6.076632,80.887774,2024-03-09 23:00:00,flooding,8,1.44,1.75,0,heavy_rain,2,5,23,True
3,6.934044,79.824926,2024-07-24 14:00:00,flooding,6,4.77,4.19,0,heavy_rain,6,2,14,True
4,7.335674,81.300551,2023-12-22 15:00:00,accident,6,1.54,2.35,1,rain,3,4,15,False
5,6.853386,79.945628,2023-03-13 08:00:00,weather,9,3.54,2.56,0,heavy_rain,6,0,8,True
6,6.968724,79.926584,2024-01-11 23:00:00,accident,3,3.29,1.66,0,clear,5,3,23,True
7,7.231799,81.283346,2023-10-26 12:00:00,accident,5,3.42,4.77,0,heavy_rain,4,3,12,True
8,6.843363,79.884762,2023-05-17 07:00:00,accident,7,1.33,1.58,0,clear,9,2,7,True
9,6.950726,79.986057,2023-11-30 20:00:00,weather,4,4.76,1.98,0,storm,9,3,20,False
10,6.94035,79.981357,2024-08-23 07:00:00,weather,3,1.56,2.8,0,storm,6,4,7,True
11,6.98319,79.906699,2023-02-04 20:00:00,weather,3,1.43,0.22,0,heavy_rain,10,5,20,True
12,6.928202,79.880645,2024-04-02 14:00:00,accident,2,0.14,1.8,0,clear,2,1,14,True
13,6.845505,79.931831,2024-10-31 12:00:00,accident,3,5.45,1.5,0,clear,6,3,12,True
14,6.880468,79.884072,2023-12-04 05:00:00,landslide,2,3.67,3.55,0,rain,7,0,5,True
15,6.968291,79.88289,2023-03-31 17:00:00,landslide,2,0.05,5.03,0,rain,10,4,17,True
16,9.335074,80.801608,2024-09-09 01:00:00,landslide,7,0.13,5.71,0,clear,2,0,1,False
17,8.218056,81.624289,2024-10-23 11:00:00,accident,2,1.75,0.24,0,rain,5,2,11,True
18,6.658744,80.064601,2024-05-12 09:00:00,accident,6,6.56,7.2,0,clear,4,6,9,True
19,7.274478,81.832889,2024-04-24 23:00:00,traffic_jam,8,20.2,8.64,0,fog,5,2,23,True
20,6.927672,79.952512,2023-09-22 14:00:00,flooding,2,0.92,7.46,0,rain,6,4,14,True
21,6.867412,79.904944,2024-10-08 09:00:00,accident,3,1.03,1.26,0,rain,10,1,9,True
22,6.901802,79.971728,2024-06-01 18:00:00,accident,3,1.75,0.46,0,clear,1,5,18,True
23,6.895578,79.808437,2024-10-09 18:00:00,weather,1,3.96,7.3,0,heavy_rain,6,2,18,True
24,7.11017,81.781827,2023-07-16 20:00:00,road_closure,6,7.05,9.0,0,heavy_rain,7,6,20,True
25,7.094228,81.575661,2023-02-27 19:00:00,accident,4,8.37,4.62,0,heavy_rain,10,0,19,True
26,6.980183,79.954152,2023-08-21 18:00:00,accident,8,4.77,0.11,0,rain,1,0,18,False
27,8.673243,79.664308,2024-03-25 18:00:00,accident,3,0.56,0.4,0,heavy_rain,1,0,18,True
28,9.741489,80.825794,2023-02-19 18:00:00,protest,10,3.58,11.59,0,clear,9,6,18,True
29,9.290531,81.284544,2023-04-28 21:00:00,flooding,1,3.37,0.18,0,heavy_rain,2,4,21,True
30,6.971052,79.861657,2023-05-25 16:00:00,accident,2,2.76,2.64,0,rain,10,3,16,False
31,6.930147,79.936064,2023-12-02 04:00:00,traffic_jam,1,5.91,0.4,0,heavy_rain,8,5,4,True
